system,sample_count_requested,sample_count_evaluated,real_count,fake_count,errors,accuracy_percent,precision_fake_percent,recall_fake_percent,f1_fake_percent,confusion_matrix_real_fake,binary_threshold,wall_seconds,process_cpu_seconds,process_cpu_utilization_percent,mean_image_inference_ms,median_image_inference_ms,p95_image_inference_ms,peak_process_ram_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb,parameter_count_total,checkpoints,resource_scope,ensemble_members
model_set1_xception,100,100,50,50,0,62.0,77.2727,34.0,47.2222,"[[45, 5], [33, 17]]",0.5,5.304617,8.265625,6.4925,13.998831,10.88835,16.193125,1168.3164,796.1206,1316.0,198526829,{'xception': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\xception_best_ds1_epoch8.pth'},all five FYP1 models resident together,
model_set1_resnet,100,100,50,50,0,52.0,55.5556,20.0,29.4118,"[[42, 8], [40, 10]]",0.5,5.304617,8.265625,6.4925,12.028124,11.3607,15.91954,1168.3164,796.1206,1316.0,198526829,{'resnet': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\resnet_best_ds1_epoch8.pth'},all five FYP1 models resident together,
model_set1_vit,100,100,50,50,0,64.0,73.3333,44.0,55.0,"[[42, 8], [28, 22]]",0.5,5.304617,8.265625,6.4925,10.515974,10.2108,12.339205,1168.3164,796.1206,1316.0,198526829,{'vit': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\vit_best_ds1_epoch8.pth'},all five FYP1 models resident together,
model_set1_dft,100,100,50,50,0,46.0,46.5517,54.0,50.0,"[[19, 31], [23, 27]]",0.5,5.304617,8.265625,6.4925,6.964111,7.7581,9.43036,1168.3164,796.1206,1316.0,198526829,{'dft': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\dft_average_ds1_epoch10.pth'},all five FYP1 models resident together,
model_set1_canny,100,100,50,50,0,63.0,61.8182,68.0,64.7619,"[[29, 21], [16, 34]]",0.5,5.304617,8.265625,6.4925,3.22306,3.02035,4.27153,1168.3164,796.1206,1316.0,198526829,{'canny': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\canny_best_ds1_epoch10.pth'},all five FYP1 models resident together,
model_set1_five_model_ensemble,100,100,50,50,0,56.0,65.0,26.0,37.1429,"[[43, 7], [37, 13]]",0.5,5.304617,8.265625,6.4925,46.821201,43.63675,54.57919,1168.3164,796.1206,1316.0,198526829,"{'xception': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\xception_best_ds1_epoch8.pth', 'resnet': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\resnet_best_ds1_epoch8.pth', 'vit': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\vit_best_ds1_epoch8.pth', 'dft': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\dft_average_ds1_epoch10.pth', 'canny': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set1\\canny_best_ds1_epoch10.pth'}",all five FYP1 models resident together,"['xception', 'resnet', 'vit', 'dft', 'canny']"
model_set2_xception,100,100,50,50,0,49.0,49.0196,50.0,49.505,"[[24, 26], [25, 25]]",0.5,4.644665,6.796875,6.0974,9.806299,9.5971,11.701235,1171.5352,896.1812,1572.0,198526829,{'xception': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\xception_best_ds2_epoch8.pth'},all five FYP1 models resident together,
model_set2_resnet,100,100,50,50,0,66.0,64.8148,70.0,67.3077,"[[31, 19], [15, 35]]",0.5,4.644665,6.796875,6.0974,10.575438,10.23615,13.808605,1171.5352,896.1812,1572.0,198526829,{'resnet': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\resnet_best_ds2_epoch8.pth'},all five FYP1 models resident together,
model_set2_vit,100,100,50,50,0,48.0,48.4848,64.0,55.1724,"[[16, 34], [18, 32]]",0.5,4.644665,6.796875,6.0974,10.82831,9.95265,14.196,1171.5352,896.1812,1572.0,198526829,{'vit': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\vit_best_ds2_epoch8.pth'},all five FYP1 models resident together,
model_set2_dft,100,100,50,50,0,50.0,50.0,32.0,39.0244,"[[34, 16], [34, 16]]",0.5,4.644665,6.796875,6.0974,6.483495,7.3797,8.13968,1171.5352,896.1812,1572.0,198526829,{'dft': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\dft_best_ds2_epoch10.pth'},all five FYP1 models resident together,
model_set2_canny,100,100,50,50,0,49.0,46.1538,12.0,19.0476,"[[43, 7], [44, 6]]",0.5,4.644665,6.796875,6.0974,2.84902,2.7697,3.689515,1171.5352,896.1812,1572.0,198526829,{'canny': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\canny_best_ds2_epoch10.pth'},all five FYP1 models resident together,
model_set2_five_model_ensemble,100,100,50,50,0,53.0,52.9412,54.0,53.4653,"[[26, 24], [23, 27]]",0.5,4.644665,6.796875,6.0974,40.625215,40.3357,51.170225,1171.5352,896.1812,1572.0,198526829,"{'xception': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\xception_best_ds2_epoch8.pth', 'resnet': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\resnet_best_ds2_epoch8.pth', 'vit': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\vit_best_ds2_epoch8.pth', 'dft': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\dft_best_ds2_epoch10.pth', 'canny': 'C:\\Users\\HP\\Desktop\\FYP1 Source Code\\model_set2\\canny_best_ds2_epoch10.pth'}",all five FYP1 models resident together,"['xception', 'resnet', 'vit', 'dft', 'canny']"
